position,B1_number,B1_gillogly_table1,B1_nara_straight,B1_pamphlet_encoder_key,B1_pamphlet_straight,B3_number,B3_gillogly_table1,B3_nara_straight,B3_pamphlet_encoder_key,B3_pamphlet_straight
73,500,P,P,L,L,56,O,O,O,O
74,538,P,T,L,T,37,E,E,E,E
75,356,P,P,P,T,319,I,I,I,H
76,117,M,M,M,M,2,I,I,I,I
77,136,O,O,O,O,44,N,N,N,N
78,219,R,R,T,T,53,R,R,R,R
79,27,A,A,A,A,28,A,A,A,A
80,176,L,L,M,M,44,N,N,N,N
81,130,A,A,A,A,75,T,T,T,T
82,10,N,N,N,N,98,A,A,A,A
83,460,H,H,H,W,102,L,L,L,L
84,25,A,A,A,A,37,E,E,E,E
85,485,A,A,B,F,85,E,E,E,E
86,18,B,B,B,B,107,H,H,H,H
87,436,B,B,B,L,117,M,M,M,M
88,65,C,C,C,C,64,T,T,T,T
89,84,C,C,C,C,88,A,A,A,A
90,200,A,A,C,C,136,O,O,O,O
91,283,C,C,C,T,48,G,G,G,G
92,118,D,D,D,D,154,I,I,I,I
93,320,D,D,D,I,99,T,T,T,T
94,138,E,E,E,E,175,M,M,S,S
95,36,A,A,A,A,89,E,E,E,E
96,416,O,O,O,R,315,A,A,A,I
97,280,S,S,S,P,326,A,A,A,A
98,15,D,D,D,D,78,S,S,S,S
99,71,S,S,S,S,96,R,R,R,R
100,224,F,F,T,T,214,E,E,W,W
101,961,H,H,O,H,218,T,T,T,T
102,44,N,N,N,N,311,H,H,H,A
103,16,T,T,T,T,43,O,O,O,O
104,401,F,F,F,L,89,E,E,E,E
105,39,T,T,T,T,51,A,A,A,A
106,88,A,A,A,A,90,B,B,B,B
107,61,T,T,T,T,75,T,T,T,T
108,304,P,P,P,T,128,T,T,T,T
109,12,O,O,O,O,96,R,R,R,R
110,21,C,C,C,C,33,E,E,E,E
111,24,A,A,A,A,28,A,A,A,A
112,283,C,C,C,T,103,A,A,A,A
113,134,B,B,B,B,84,C,C,C,C
114,92,C,C,C,C,65,C,C,C,C
115,63,D,D,D,D,26,T,T,T,T
116,246,D,D,D,A,41,T,T,T,T
117,486,L,L,E,A,246,D,D,D,A
118,682,B,U,L,U,84,C,C,C,C
119,7,E,E,E,E,270,G,G,G,N
120,219,R,R,T,T,98,A,A,A,A
121,184,I,I,P,P,116,A,A,A,A
122,360,F,F,F,H,32,T,T,T,T
123,780,E,P,T,P,59,R,R,R,R
124,18,B,B,B,B,74,T,T,T,T
125,64,T,T,T,T,66,W,W,W,W
126,463,H,H,H,H,69,T,T,T,T
127,474,I,I,I,H,240,I,I,P,P
128,131,F,F,F,F,15,D,D,D,D
129,160,O,O,F,F,8,I,I,I,I
130,79,E,E,E,E,121,P,P,P,P
131,73,H,H,H,H,20,H,H,H,H
132,440,U,U,U,U,77,B,B,B,B
133,95,U,U,U,I,89,E,E,E,E
134,18,B,B,B,B,31,O,O,O,O
135,64,T,T,T,T,11,F,F,F,F
136,581,T,A,J,A,106,O,O,O,O
