QUERY: "krampachtige houding" AND date within "1947-06-01 1949-12-31" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: "marshall eilanden" AND date within "1948-01-01 1948-04-30" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: "marshall-eilanden" AND date within "1948-01-01 1948-04-30" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: elsevier AND "raadsel van de zee" | collection: DDD_artikel | numberOfRecords: 1 
1948/01/24 | Leekster courant | p1 | MMRHCG04:235133008:mpeg21:a00006 | MYSTERIE, DAT DE ZEE NIMMER ZAL PRIJSGEVEN. | Groninger archieven
1967/04/18 | De Telegraaf | p1 | ddd:110590212:mpeg21:a0139 | Twee doden bij aanvaring en explosie op zee | Koninklijke Bibliotheek C 98
1914/12/16 | Het vaderland | p2 | MMKB23:001506216:mpeg21:a00024 | UIT SCHEVENINGEN | Koninklijke Bibliotheek
1955/06/13 | De waarheid | p3 | ddd:010369440:mpeg21:a0058 | JOHANNISHUS WATERWEG OPGESLEEPT | KB C 157
1912/10/08 | Dagblad van Zuid-Holland en 's-Gravenhage | p5 | MMKB19:000165086:mpeg21:a00029 | Frankrijk. | Koninklijke Bibliotheek
1937/01/26 | De tribune : soc. dem. weekblad | p1 | ddd:010481846:mpeg21:a0006 | Dwangarbeiders muiten, vijftien doden. | KB C 143
1959/12/07 | Het vrĳe volk : democratisch-socialistisch dagblad | p5 | ddd:010950991:mpeg21:a0131 | Gevaarlijk | Gemeentearchief Rotterdam
1937/01/26 | Nieuwe Tilburgsche Courant | p1 | ddd:010237756:mpeg21:a0011 | De walerramp in Amerika. Trieste karavanen op de vlucht voor den vloed. De nood stijgt met | KB C1115
1970/09/07 | Leeuwarder courant : hoofdblad van Friesland | p6 | ddd:010618541:mpeg21:a0135 | Dynamiet | KBDK
1937/01/26 | Nieuwe Tilburgsche Courant | p1 | ddd:010996694:mpeg21:a0011 | De waterramp in Amerika. Trieste karavanen op de vlucht voor den vloed. De nood stijgt met | Koninklijke Bibliotheek C1115
1937/01/26 | De Telegraaf | p1 | ddd:110577176:mpeg21:a0001 | TRIESTE KARAVANEN OP DE VLUCHT VOOR HET WATER. Nood in de V. S. stijgt met het uur. | KB C 98
